X,Y,OBJECTID,ID,NAME_1,NAME_2,ADDRESS,CITY,ZIPCODE,STATE,EMPLOYMENT,YEARBUILT,SQUAREFEET,SOURCE,DATEREVISE,COMMENTS
-82.9779679956129,42.3830457933241,1,1,Chrysler,Mack Avenue Engine Complex I,4000 St Jean Avenue,Detroit,48214,MI,619,1974,1400000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,
-82.9666514046648,42.3729946360744,2,2,Chrysler,Jefferson North Assembly Plant,2101 Conner Street,Detroit,48215,MI,4623,1991,3000000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,
-83.2323911055632,42.655338141334,3,3,Chrysler,Headquarters and Technology Center,1000 Chrysler Drive,Auburn Hills,48326,MI,14000,1996,5400000,http://www.media.chrysler.com/newsrelease.do?id=7054&mid=175,2015/04/23 00:00:00+00,
-82.979678277413,42.3856158169692,4,4,Chrysler,Mack Avenue Engine Complex II,4500 St Jean Avenue,Detroit,48214,MI,0,1999,650000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,Plant was idled in September 2012.
-83.0409219585724,42.4433511435873,5,5,Chrysler,Mt Elliott Tool & Die,3675 East Outer Drive,Detroit,48234,MI,177,1938,725000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,
-83.0342237395323,42.5734977115676,6,6,Chrysler,Sterling Heights Assembly Plant,38111 Van Dyke,Sterling Heights,48312,MI,3311,1953,5000000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,
-83.0331197407029,42.5562298882193,7,7,Chrysler,Sterling Stamping Plant,35777 Van Dyke,Sterling Heights,48312,MI,2292,1965,2740000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,
-83.1905283761785,42.1298313175396,8,8,Chrysler,Trenton North Engine Plant,2000 Van Horn Road,Trenton,48183,MI,1438,1952,2100000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,Employees are shared with the Trenton South Engine Plant
-83.1930743781209,42.1287038450564,9,9,Chrysler,Trenton South Engine Plant,2300 Van Horn Road,Trenton,48183,MI,0,2007,822000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,Employees are recorded with the Trenton North Engine Plant
-83.041636457554,42.4604636044631,10,10,Chrysler,Warren Stamping Plant,22800 Mound Road,Warren,48091,MI,2013,1949,2100000,"http://www.media.chrysler.com/factsheets.do;jsessionid=C5FB0162CAB1D86D0B602EF426DE4631?&mid=105",2015/04/23 00:00:00+00,
