"Site_ID" "Latitude" "Longitude" "Elevation" "Land_use" "Location_monitor_type" "State" "Obs_value"
"17 - 19 - 6" "40.123886" "-88.240553" "226" "COMMERCIAL" "SUBURBAN" "Illinois" "8.2"
"17 - 19 - 1001" "40.05278" "-88.37251" "213" "AGRICULTURAL" "RURAL" "Illinois" "8.3"
"17 - 31 - 1" "41.670992" "-87.732457" "188" "RESIDENTIAL" "SUBURBAN" "Illinois" "9.3"
"17 - 31 - 22" "41.687165" "-87.539315" "178" "INDUSTRIAL" "SUBURBAN" "Illinois" "9.1"
"17 - 31 - 52" "41.965485" "-87.749928" "186" "COMMERCIAL" "SUBURBAN" "Illinois" "9.6"
"17 - 31 - 57" "41.912862" "-87.722723" "183" "COMMERCIAL" "SUBURBAN" "Illinois" "10.2"
"17 - 31 - 76" "41.7514" "-87.713488" "186" "RESIDENTIAL" "SUBURBAN" "Illinois" "9.6"
"17 - 31 - 1016" "41.80118" "-87.832349" "186" "COMMERCIAL" "SUBURBAN" "Illinois" "12.1"
"17 - 31 - 3301" "41.782766" "-87.805377" "190" "RESIDENTIAL" "SUBURBAN" "Illinois" "9.7"
"17 - 31 - 4007" "42.060285" "-87.863225" "192" "RESIDENTIAL" "SUBURBAN" "Illinois" "8.7"
"17 - 31 - 4201" "42.139996" "-87.799227" "198" "RESIDENTIAL" "SUBURBAN" "Illinois" "8.4"
"17 - 31 - 6005" "41.864426" "-87.748902" "186" "INDUSTRIAL" "SUBURBAN" "Illinois" "9.3"
"17 - 43 - 4002" "41.771071" "-88.152534" "204" "COMMERCIAL" "URBAN AND CENTER CITY" "Illinois" "8.7"
"17 - 65 - 2" "38.082155" "-88.624943" "149" "AGRICULTURAL" "RURAL" "Illinois" "9.4"
"17 - 83 - 1001" "39.110539" "-90.32408" "193" "RESIDENTIAL" "SUBURBAN" "Illinois" "9.6"
"17 - 89 - 3" "42.050403" "-88.280015" "238" "RESIDENTIAL" "SUBURBAN" "Illinois" "10.7"
"17 - 89 - 7" "41.784717" "-88.329374" "213" "COMMERCIAL" "SUBURBAN" "Illinois" "9.2"
"17 - 111 - 1" "42.221442" "-88.242207" "235" "RESIDENTIAL" "SUBURBAN" "Illinois" "10.4"
"17 - 113 - 2003" "40.518735" "-88.996896" "236" "RESIDENTIAL" "SUBURBAN" "Illinois" "8.9"
"17 - 115 - 13" "39.866834" "-88.925594" "204" "INDUSTRIAL" "SUBURBAN" "Illinois" "10.1"
"17 - 119 - 24" "38.700632" "-90.144763" "128" "INDUSTRIAL" "URBAN AND CENTER CITY" "Illinois" "11.2"
"17 - 119 - 1007" "38.704534" "-90.139675" "128" "INDUSTRIAL" "URBAN AND CENTER CITY" "Illinois" "13.9"
"17 - 119 - 2009" "38.903085" "-90.143168" "164" "RESIDENTIAL" "SUBURBAN" "Illinois" "10"
"17 - 119 - 3007" "38.860669" "-90.105851" "131" "INDUSTRIAL" "SUBURBAN" "Illinois" "9.5"
"17 - 143 - 37" "40.697007" "-89.584737" "155" "COMMERCIAL" "URBAN AND CENTER CITY" "Illinois" "10.3"
"17 - 157 - 1" "38.176278" "-89.788459" "136" "INDUSTRIAL" "RURAL" "Illinois" "8.4"
"17 - 161 - 3002" "41.514727" "-90.51735" "171" "COMMERCIAL" "URBAN AND CENTER CITY" "Illinois" "10.8"
"17 - 163 - 10" "38.612034" "-90.160477" "125" "INDUSTRIAL" "SUBURBAN" "Illinois" "9.7"
"17 - 167 - 12" "39.831921" "-89.644164" "180" "RESIDENTIAL" "SUBURBAN" "Illinois" "10.4"
"17 - 197 - 1002" "41.526885" "-88.116474" "167" "RESIDENTIAL" "SUBURBAN" "Illinois" "8.7"
"17 - 197 - 1011" "41.221537" "-88.190967" "181" "AGRICULTURAL" "RURAL" "Illinois" "8.3"
"17 - 201 - 13" "42.263081" "-89.092767" "230" "COMMERCIAL" "URBAN AND CENTER CITY" "Illinois" "9.3"
"18 - 3 - 4" "41.094965" "-85.101816" "211.11" "COMMERCIAL" "SUBURBAN" "Indiana" "9.6"
"18 - 5 - 8" "39.237457" "-85.891332" "164.421" "COMMERCIAL" "SUBURBAN" "Indiana" "8.7"
"18 - 19 - 6" "38.277675" "-85.740153" "133" "COMMERCIAL" "URBAN AND CENTER CITY" "Indiana" "11.3"
"18 - 19 - 8" "38.393833" "-85.664167" "149" "RESIDENTIAL" "RURAL" "Indiana" "8.3"
"18 - 35 - 6" "40.201141" "-85.387999" "278" "RESIDENTIAL" "SUBURBAN" "Indiana" "8.3"
"18 - 37 - 2001" "38.391443" "-86.92916" "148" "COMMERCIAL" "URBAN AND CENTER CITY" "Indiana" "10.4"
