Editor,RSS,Loading,Highlight
ne,1396,hello.c,1
nano,2208,hello.c,1
jed,3512,hello.c,1
mcedit,3904,hello.c,1
joe,4772,hello.c,1
vim,5336,hello.c,1
nedit,7036,hello.c,1
micro,8740,hello.c,1
emacs -nw,17060,hello.c,1
notepad++,21092,hello.c,1
gedit,26368,hello.c,1
emacs,34924,hello.c,1
sublime,45800,hello.c,1
jedit,86928,hello.c,1
atom,250404,hello.c,1
code,339512,hello.c,1
ed,680,hello.c,0
mg,932,hello.c,0
ne,1204,hello.c,0
nano,1684,hello.c,0
nvi,2224,hello.c,0
jed,3352,hello.c,0
mcedit,3880,hello.c,0
joe,4988,hello.c,0
vim,5180,hello.c,0
nedit,6940,hello.c,0
micro,8792,hello.c,0
emacs -nw,15584,hello.c,0
notepad++,20804,hello.c,0
emacs,33752,hello.c,0
sublime,43444,hello.c,0
jedit,84416,hello.c,0
code,341116,hello.c,0
mcedit,9604,test.xml,1
vim,11952,test.xml,1
joe,11968,test.xml,1
ne,14228,test.xml,1
nano,17336,test.xml,1
emacs -nw,23216,test.xml,1
nedit,24332,test.xml,1
notepad++,34752,test.xml,1
micro,38212,test.xml,1
emacs,42892,test.xml,1
sublime,64608,test.xml,1
jedit,99372,test.xml,1
gedit,132336,test.xml,1
code,391496,test.xml,1
nvi,2348,test.xml,0
ed,5368,test.xml,0
mcedit,9584,test.xml,0
joe,11496,test.xml,0
vim,11824,test.xml,0
nedit,12696,test.xml,0
mg,13420,test.xml,0
ne,13864,test.xml,0
nano,14172,test.xml,0
jed,14356,test.xml,0
emacs -nw,21320,test.xml,0
micro,26192,test.xml,0
notepad++,34176,test.xml,0
emacs,39492,test.xml,0
gedit,48460,test.xml,0
sublime,63800,test.xml,0
jedit,94876,test.xml,0
code,383440,test.xml,0
atom,825232,test.xml,0
